key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
NeVIII-770,Ne VIII,770.429,0.0,16.09288,574000000.0,0.1022,2-4,1s22s-1s22p,2S-2P*,1/2-3/2,E1,770.4291,permitted,0.2044,1,1.0,2S,NIST,--
NeVIII-780,Ne VIII,780.339,0.0,15.8885,552000000.0,0.0504,2-2,1s22s-1s22p,2S-2P*,1/2-1/2,E1,780.339,permitted,0.1008,1,1.0,2S,NIST,--
Ly20,H I,914.039,0.0,13.56443886,3927.6,0.00019677,2-800,1s-20,,,E1,914.038537,permitted,0.00039354,0,1.0,1s-20,NIST,--
Ly19,H I,914.286,0.0,13.56076619,5076.7,0.00022967,2-722,1s-19,,,E1,914.286086,permitted,0.00045934,0,1.0,1s-19,NIST,--
Ly18,H I,914.576,0.0,13.55646454,6654.0,0.00027035,2-648,1s-18,,,E1,914.576201,permitted,0.0005407,0,1.0,1s-18,NIST,--
Ly17,H I,914.919,0.0,13.55138166,8857.4,0.00032124,2-578,1s-17,,,E1,914.919242,permitted,0.00064248,0,1.0,1s-17,NIST,--
Ly16,H I,915.329,0.0,13.54531624,11997.0,0.00038577,2-512,1s-16,,,E1,915.328932,permitted,0.00077154,0,1.0,1s-16,NIST,--
Ly15,H I,915.824,0.0,13.53799772,16572.0,0.00046886,2-450,1s-15,,,E1,915.823751,permitted,0.00093772,0,1.0,1s-15,NIST,--
Ly14,H I,916.429,0.0,13.52905552,23409.0,0.00057769,2-392,1s-14,,,E1,916.429076,permitted,0.00115538,0,1.0,1s-14,NIST,--
Ly13,H I,917.181,0.0,13.51797128,33927.0,0.0007231,2-338,1s-13,,,E1,917.180514,permitted,0.0014462,0,1.0,1s-13,NIST,--
Ly12,H I,918.129,0.0,13.50400193,50659.0,0.0009219,2-288,1s-12,,,E1,918.1293,permitted,0.0018438,0,1.0,1s-12,NIST,--
Ly11,H I,919.351,0.0,13.48605194,78340.0,0.0012011,2-242,1s-11,,,E1,919.351334,permitted,0.0024022,0,1.0,1s-11,NIST,--
Ly10,H I,920.963,0.0,13.46245155,126310.0,0.0016062,2-200,1s-10,,,E1,920.963006,permitted,0.0032124,0,1.0,1s-10,NIST,--
Ly9,H I,923.15,0.0,13.43055424,214250.0,0.0022172,2-162,1s-9,,,E1,923.150275,permitted,0.0044344,0,1.0,1s-9,NIST,--
Ly8,H I,926.226,0.0,13.38596103,386940.0,0.003185,2-128,1s-8,,,E1,926.225605,permitted,0.00637,0,1.0,1s-8,NIST,--
Ly7,H I,930.748,0.0,13.32091817,756840.0,0.0048164,2-98,1s-7,,,E1,930.748142,permitted,0.0096328,0,1.0,1s-7,NIST,--
LyE,H I,937.803,0.0,13.22070389,1644000.0,0.0078035,2-72,1s-6,,,E1,937.80331,permitted,0.015607,0,1.0,1s-6,NIST,--
LyD,H I,949.743,0.0,13.0545017,4125000.0,0.013945,2-50,1s-5,,,E1,949.74287,permitted,0.02789,0,1.0,1s-5,NIST,--
LyG,H I,972.536,0.0,12.7485393,12785000.0,0.029006,2-32,1s-4,,,E1,972.5365,permitted,0.058012,0,1.0,1s-4,NIST,--
CIII-977,C III,977.02,0.0,12.690036,1767000000.0,0.7586,1-3,1s22s2-1s22s2p,1S-1P*,0-1,E1,977.0201,permitted,0.7586,1,1.0,1S,NIST,--
NIII-990,N III,989.799,0.0,12.5262,418000000.0,0.123,2-4,2s22p-2s2p2,2P*-2D,1/2-3/2,E1,989.799,permitted,0.246,1,1.0,2P*,NIST,--
NIII-992,N III,991.577,0.02162,12.52537,497000000.0,0.11,4-6,2s22p-2s2p2,2P*-2D,3/2-5/2,E1,991.577,permitted,0.44,1,1.0,2P*,NIST,--
LyB,H I,1025.722,0.0,12.0875052,55751000.0,0.079142,2-18,1s-3,,,E1,1025.722,permitted,0.158284,0,1.0,1s-3,NIST,--
OVI-1032,O VI,1031.927,0.0,12.01483,416000000.0,0.133,2-4,1s22s-1s22p,2S-2P*,1/2-3/2,E1,1031.927,permitted,0.266,1,1.0,2S,NIST,--
OVI-1038,O VI,1037.615,0.0,11.94895,409000000.0,0.066,2-2,1s22s-1s22p,2S-2P*,1/2-1/2,E1,1037.6154,permitted,0.132,1,1.0,2S,NIST,--
ArI-1067,Ar I,1066.66,0.0,11.62359272,132000000.0,0.0675,1-3,3s23p6-3s23p5(2P*<3/2>)4s,1S-2[3/2]*,0-1,E1,1066.659865,permitted,0.0675,0,1.0,1S,NIST,--
LyA,H I,1215.67,0.0,10.1988358,469860000.0,0.41641,2-8,1s-2,,,E1,1215.6701,permitted,0.83282,0,1.0,1s-2,NIST,--
NV-1239,N V,1238.804,0.0,10.00838,340000000.0,0.156,2-4,1s22s-1s22p,2S-2P*,1/2-3/2,E1,1238.804,permitted,0.312,1,1.0,2S,NIST,--
NV-1243,N V,1242.795,0.0,9.97624,337000000.0,0.078,2-2,1s22s-1s22p,2S-2P*,1/2-1/2,E1,1242.795,permitted,0.156,1,1.0,2S,NIST,--
SiII-1260,Si II,1260.422,0.0,9.83672,2570000000.0,1.22,2-4,3s23p-3s23d,2P*-2D,1/2-3/2,E1,1260.4221,permitted,2.44,1,1.0,2P*,NIST,--
SiII-1265,Si II,1264.738,0.035613,9.838769,3040000000.0,1.09,4-6,3s23p-3s23d,2P*-2D,3/2-5/2,E1,1264.7377,permitted,4.36,1,1.0,2P*,NIST,--
OI-1302,O I,1302.168,0.0,9.5213638,341000000.0,0.052,5-3,2s22p4-2s22p3(4S*)3s,3P-3S*,2-1,E1,1302.16848,permitted,0.26,0,1.0,3P,NIST,--
CII-1335,C II,1334.533,0.0,9.290459,241000000.0,0.129,2-4,2s22p-2s2p2,2P*-2D,1/2-3/2,E1,1334.5326,permitted,0.258,1,1.0,2P*,NIST,--
CII-1336,C II,1335.708,0.007859989,9.2901455,288000000.0,0.115,4-6,2s22p-2s2p2,2P*-2D,3/2-5/2,E1,1335.7077,permitted,0.46,1,1.0,2P*,NIST,--
SiIV-1394,Si IV,1393.755,0.0,8.895698,880000000.0,0.513,2-4,2p63s-2p63p,2S-2P*,1/2-3/2,E1,1393.7546,permitted,1.026,1,1.0,2S,NIST,--
OIV-1397,O IV,1397.16,63.6271,72.5011,928000.0,0.000272,6-6,2s24f-2s2p(3P*)4p,2F*-2D,5/2-5/2,E1,1397.16,permitted,0.001632,0,1.0,2F*,NIST,--
SiIV-1403,Si IV,1402.77,0.0,8.838529,863000000.0,0.255,2-2,2p63s-2p63p,2S-2P*,1/2-1/2,E1,1402.7697,permitted,0.51,1,1.0,2S,NIST,--
NIV]-1486,N IV,1486.496,0.0,8.3407,595.0,5.91e-07,1-3,1s22s2-1s22s2p,1S-3P*,0-1,E1,1486.496,semi-forbidden,5.91e-07,0,1.0,1S,NIST,--
CIV-1548,C IV,1548.204,0.0,8.008258,265000000.0,0.19,2-4,1s22s-1s22p,2S-2P*,1/2-3/2,E1,1548.2043,permitted,0.38,1,1.0,2S,NIST,--
CIV-1551,C IV,1550.784,0.0,7.994939,264000000.0,0.0952,2-2,1s22s-1s22p,2S-2P*,1/2-1/2,E1,1550.784,permitted,0.1904,1,1.0,2S,NIST,--
HeII-1640,He II,1640.474,40.81375709639,48.371583992058,1035100000.0,0.62642,4-6,2p-3d,2P*-2D,3/2-5/2,E1,1640.47417525,permitted,2.50568,0,1.0,2P*,NIST,--
OIII]-1661,O III,1660.809,0.0140323,7.479321,220.0,1.52e-07,3-5,2s22p2-2s2p3,3P-5S*,1-2,E1,1660.809,semi-forbidden,4.560000000000001e-07,1,1.0,3P,NIST,--
OIII]-1666,O III,1666.15,0.0379607,7.479321,548.0,2.28e-07,5-5,2s22p2-2s2p3,3P-5S*,2-2,E1,1666.15,semi-forbidden,1.14e-06,1,1.0,3P,NIST,--
NIII]-1747,N III,1746.823,0.0,7.0977,9.49,8.68e-09,2-4,2s22p-2s2p2,2P*-4P,1/2-3/2,E1,1746.823,semi-forbidden,1.736e-08,1,1.0,2P*,NIST,--
NIII]-1749,N III,1748.646,0.0,7.0903,497.0,2.28e-07,2-2,2s22p-2s2p2,2P*-4P,1/2-1/2,E1,1748.646,semi-forbidden,4.56e-07,1,1.0,2P*,NIST,--
AlIII-1855,Al III,1854.716,0.0,6.684806,544000000.0,0.561,2-4,2p63s-2p63p,2S-2P*,1/2-3/2,E1,1854.716,permitted,1.122,1,1.0,2S,NIST,--
AlIII-1863,Al III,1862.79,0.0,6.655835,536000000.0,0.279,2-2,2p63s-2p63p,2S-2P*,1/2-1/2,E1,1862.79,permitted,0.558,1,1.0,2S,NIST,--
CIII]-1909,C III,1908.734,0.0,6.495625,114.0,1.87e-07,1-3,1s22s2-1s22s2p,1S-3P*,0-1,E1,1908.734,semi-forbidden,1.87e-07,1,1.0,1S,NIST,--
NII]-2143,N II,2143.45,0.01622,5.80055,127.0,8.72e-08,5-5,2s22p2-2s2p3,3P-5S*,2-2,E1,2142.7748728927063,semi-forbidden,4.36e-07,0,1.0,3P,NIST,--
[OIII]-2322,[O III],2321.664,0.0140323,5.354349,0.215,5.79e-11,3-1,2s22p2-2s22p2,3P-1S,1-0,M1,2320.951033392114,forbidden,1.737e-10,0,1.0,3P-1S,NIST,--
CII]-2324,C II,2324.236,0.0,5.33441,1.4,2.27e-09,2-4,2s22p-2s2p2,2P*-4P,1/2-3/2,E1,2323.5224649013817,semi-forbidden,4.54e-09,1,1.0,2P*,NIST,--
CII]-2325,C II,2325.43,0.0,5.33167,59.9,4.86e-08,2-2,2s22p-2s2p2,2P*-4P,1/2-1/2,E1,2324.71620081152,semi-forbidden,9.72e-08,1,1.0,2P*,NIST,--
[NeIV]-2423,[Ne IV],2422.546,0.0,5.11793,0.0052,4.6e-12,4-4,2s22p3-2s22p3,4S*-2D*,3/2-3/2,M1,2421.810371795551,forbidden,1.84e-11,1,1.0,4S*-2D*,NIST,--
[NeIV]-2425,[Ne IV],2425.158,0.0,5.11242,0.00058,7.7e-13,4-6,2s22p3-2s22p3,4S*-2D*,3/2-5/2,M1+E2,2424.4217759588228,forbidden,3.08e-12,1,1.0,4S*-2D*,NIST,--
[FeXI]-2649,[Fe XI],2649.46,0.0,4.67961,92.3,9.71e-08,5-5,3s23p4-3s23p4,3P-1D,2-2,M1,2648.671275549882,forbidden,4.855e-07,0,1.0,3P-1D,NIST,--
HeII-2734,He II,2734.158,48.371583992058,52.9062223646,34360000.0,0.051345,6-8,3d-6f,2D-2F*,5/2-7/2,E1,2733.349351442155,permitted,0.30807,1,1.0,2D,NIST,--
[MgV]-2784,[Mg V],2783.5,0.0,4.4543,1.87,2.17e-09,5-5,2s22p4-2s22p4,3P-1D,2-2,M1,2782.6789151387184,forbidden,1.085e-08,1,1.0,3P-1D,NIST,--
MgII-2796,Mg II,2796.352,0.0,4.433784,260000000.0,0.608,2-4,2p63s-2p63p,2S-2P*,1/2-3/2,E1,2795.527781929572,permitted,1.216,1,1.0,2S,NIST,--
MgII-2804,Mg II,2803.531,0.0,4.422431,257000000.0,0.303,2-2,2p63s-2p63p,2S-2P*,1/2-1/2,E1,2802.70502963345,permitted,0.606,1,1.0,2S,NIST,--
[FeIV]-2830,[Fe IV],2830.19,0.0,4.38077,0.88,7e-10,6-4,3d5-3d5,6S-4P,5/2-3/2,M1,2829.3575095994834,forbidden,4.1999999999999996e-09,1,1.0,6S-4P,NIST,--
[FeIV]-2837,[Fe IV],2836.57,0.0,4.37091,1.4,1.7e-09,6-6,3d5-3d5,6S-4P,5/2-5/2,M1,2835.735946276867,forbidden,1.02e-08,1,1.0,6S-4P,NIST,--
[ArIV]-2854,[Ar IV],2854.5,0.0,4.343464,2.55,3.11e-09,4-4,3s23p3-3s23p3,4S*-2P*,3/2-3/2,M1,2853.661546857641,forbidden,1.244e-08,2,1.0,4S*-2P*,NIST,--
[ArIV]-2869,[Ar IV],2869.06,0.0,4.32142,0.97,6e-10,4-2,3s23p3-3s23p3,4S*-2P*,3/2-1/2,M1,2868.2179680069517,forbidden,2.4e-09,2,1.0,4S*-2P*,NIST,--
[MgV]-2929,[Mg V],2928.9,0.22108,4.4543,0.536,1.15e-09,3-5,2s22p4-2s22p4,3P-1D,1-2,M1,2928.0432027186084,forbidden,3.45e-09,1,1.0,3P-1D,NIST,--
HeI-2946,He I,2945.965,19.819614525,24.028225064,3200600.0,0.0069405,3-5,1s2s-1s5p,3S-3P*,1-2,E1,2945.1040943597377,permitted,0.0208215,4,1.0,3S,NIST,--
[FeII]-3004,[Fe II],3004.047,0.35186476,4.47910423,0.0115,1.04e-11,6-4,3d7-3d6(3D)4s,a4F-b2D,5/2-3/2,M1+E2,3003.1711711519856,forbidden,6.24e-11,40,0.676649241245813,a4F-b2D,NIST,--
[FeII]-3029,[Fe II],3029.484,0.38651921,4.47910423,0.014,1.9e-11,4-4,3d7-3d6(3D)4s,a4F-b2D,3/2-3/2,M1+E2,3028.6019564372996,forbidden,7.6e-11,40,1.0,a4F-b2D,NIST,--
OIII-3134,O III,3133.702,36.892572,40.849049,137000000.0,0.336,3-5,2s22p(2P*)3p-2s22p(2P*)3d,3S-3P*,1-2,E1,3132.7940686504876,permitted,1.008,0,1.0,3S,NIST,--
[FeII]-3176,[Fe II],3176.297,0.0,3.90341906,0.232,2.81e-10,10-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,9/2-7/2,M1,3175.378743089073,forbidden,2.81e-09,17,1.0,a6D-b4D,NIST,--
HeI-3189,He I,3188.667,19.819614525,23.7078912279,5636100.0,0.014319,3-5,1s2s-1s4p,3S-3P*,1-2,E1,3187.7452702573264,permitted,0.042957,4,1.0,3S,NIST,--
HeII-3204,He II,3204.091,48.371583992058,52.2411437612,72724000.0,0.14924,6-8,3d-5f,2D-2F*,5/2-7/2,E1,3203.1648500283713,permitted,0.89544,1,1.0,2D,NIST,--
[FeII]-3216,[Fe II],3215.598,0.04770753,3.90341906,0.079,1.23e-10,8-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,7/2-7/2,M1,3214.6698109863128,forbidden,9.84e-10,17,0.31664285873387044,a6D-b4D,NIST,--
[FeII]-3225,[Fe II],3225.474,0.04770753,3.89161339,0.035,4.1e-11,8-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,7/2-5/2,M1,3224.5432712544684,forbidden,3.28e-10,17,0.10370551530795188,a6D-b4D,NIST,--
[FeII]-3245,[Fe II],3245.119,0.08278213,3.90341906,0.032,6.8e-11,6-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,5/2-7/2,M1,3244.182494547091,forbidden,4.08e-10,17,0.13081057379634842,a6D-b4D,NIST,--
[FeII]-3255,[Fe II],3255.177,0.08278213,3.89161339,0.131,2.08e-10,6-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,5/2-5/2,M1,3254.238354042128,forbidden,1.248e-09,17,0.3704486371641169,a6D-b4D,NIST,--
[FeII]-3276,[Fe II],3275.964,0.10695023,3.89161339,0.062,1.49e-10,4-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-5/2,M1,3275.019988320317,forbidden,5.96e-10,17,0.17604688706214658,a6D-b4D,NIST,--
[FeII]-3278,[Fe II],3278.061,0.10695023,3.8891925,0.054,4.3e-11,4-2,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-1/2,M1,3277.1162957878473,forbidden,1.72e-10,17,0.02861313744499488,a6D-b4D,NIST,--
[FeII]-3278,[Fe II],3278.49,0.10695023,3.88869686,0.172,2.8e-10,4-4,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-3/2,M1,3277.545806669731,forbidden,1.12e-09,17,0.2389007948488956,a6D-b4D,NIST,--
[FeII]-3290,[Fe II],3290.404,0.12113874,3.8891925,0.279,4.54e-10,2-2,3d6(5D)4s-3d6(3D)4s,a6D-b4D,1/2-1/2,M1,3289.456609637605,forbidden,9.08e-10,17,0.14848229784684389,a6D-b4D,NIST,--
[FeII]-3291,[Fe II],3290.837,0.12113874,3.88869686,0.068,2.2e-10,2-4,3d6(5D)4s-3d6(3D)4s,a6D-b4D,1/2-3/2,M1,3289.889359619155,forbidden,4.4e-10,17,0.09520179103188083,a6D-b4D,NIST,--
OIII-3313,O III,3313.282,33.150537,36.892572,46000000.0,0.0757,3-3,2s22p(2P*)3s-2s22p(2P*)3p,3P*-3S,1-1,E1,3312.3286112090796,permitted,0.2271,0,1.0,3P*,NIST,--
[FeII]-3319,[Fe II],3319.342,0.23217279,3.96737644,0.047,6.2e-11,10-8,3d7-3d7,a4F-b2F,9/2-7/2,M1,3318.3874586591064,forbidden,6.2e-10,60,1.0,a4F-b2F,NIST,--
[NeV]-3347,[Ne V],3346.783,0.0509856,3.755564,0.138,3.86e-10,3-5,2s22p2-2s22p2,3P-1D,1-2,M1,3345.82107788454,forbidden,1.158e-09,1,1.0,3P-1D,NIST,--
[FeII]-3377,[Fe II],3377.169,0.23217279,3.90341906,0.969,1.33e-09,10-8,3d7-3d6(3D)4s,a4F-b4D,9/2-7/2,E2,3376.1995249178167,forbidden,1.33e-08,41,1.0,a4F-b4D,NIST,--
[FeII]-3388,[Fe II],3388.064,0.23217279,3.89161339,0.225,2.32e-10,10-6,3d7-3d6(3D)4s,a4F-b4D,9/2-5/2,E2,3387.091782143185,forbidden,2.32e-09,41,0.204418417126087,a4F-b4D,NIST,--
[NeV]-3427,[Ne V],3426.864,0.1375564,3.755564,0.382,6.73e-10,5-5,2s22p2-2s22p2,3P-1D,2-2,M1,3425.881619866329,forbidden,3.365e-09,1,1.0,3P-1D,NIST,--
[FeII]-3429,[Fe II],3429.23,0.35186476,3.96737644,0.0192,4.5e-11,6-8,3d7-3d7,a4F-b2F,5/2-7/2,M1,3428.2466642955073,forbidden,2.7e-10,60,0.4203563496885232,a4F-b2F,NIST,--
[FeII]-3442,[Fe II],3441.978,0.30129858,3.90341906,0.232,4.12e-10,8-8,3d7-3d6(3D)4s,a4F-b4D,7/2-7/2,E2,3440.991859714718,forbidden,3.296e-09,41,1.1902155528422422e-08,a4F-b4D,NIST,--
OIII-3445,O III,3445.039,37.250129,40.849049,42100000.0,0.0749,5-5,2s22p(2P*)3p-2s22p(2P*)3d,3P-3P*,2-2,E1,3444.0519656018096,permitted,0.3744999999999999,0,1.0,3P,NIST,--
HeI-3449,He I,3448.577,20.615774823,24.21100267716,2269100.0,0.012137,1-3,1s2s-1s6p,1S-1P*,0-1,E1,3447.588990945041,permitted,0.012137,3,1.0,1S,NIST,--
[FeII]-3451,[Fe II],3451.39,0.35186476,3.9441623,0.0102,1.8e-11,6-6,3d7-3d7,a4F-b2F,5/2-5/2,M1,3450.401438274383,forbidden,1.0799999999999999e-10,60,0.0653353968274193,a4F-b2F,NIST,--
[FeII]-3453,[Fe II],3453.296,0.30129858,3.89161339,0.389,5.22e-10,8-6,3d7-3d6(3D)4s,a4F-b4D,7/2-5/2,E2,3452.306859834136,forbidden,4.176e-09,41,4.274499056753407e-09,a4F-b4D,NIST,--
[FeII]-3456,[Fe II],3456.104,0.30129858,3.88869686,0.401,3.59e-10,8-4,3d7-3d6(3D)4s,a4F-b4D,7/2-3/2,E2,3455.1136502566437,forbidden,2.872e-09,41,0.17473344250173428,a4F-b4D,NIST,--
[NI]-3467,[N I],3467.49,0.0,3.5756182,0.0065,1.2e-11,4-4,2s22p3-2s22p3,4S*-2P*,3/2-3/2,M1,3466.497010952376,forbidden,4.8e-11,0,1.0,4S*-2P*,NIST,--
[FeII]-3485,[Fe II],3485.01,0.38651921,3.9441623,0.052,1.42e-10,4-6,3d7-3d7,a4F-b2F,3/2-5/2,M1,3484.0122161747586,forbidden,5.68e-10,60,0.35203840097323763,a4F-b2F,NIST,--
[FeII]-3491,[Fe II],3490.984,0.35186476,3.90341906,0.0409,1e-10,6-8,3d7-3d6(3D)4s,a4F-b4D,5/2-7/2,E2,3489.985362533184,forbidden,6e-10,41,0.04890533252258295,a4F-b4D,NIST,--
[FeII]-3503,[Fe II],3502.627,0.35186476,3.89161339,0.371,6.82e-10,6-6,3d7-3d6(3D)4s,a4F-b4D,5/2-5/2,E2,3501.625392725467,forbidden,4.092e-09,41,0.3167069087876836,a4F-b4D,NIST,--
[FeII]-3505,[Fe II],3505.024,0.35186476,3.8891925,0.683,4.2e-10,6-2,3d7-3d6(3D)4s,a4F-b4D,5/2-1/2,E2,3504.021876986121,forbidden,2.52e-09,41,0.11059268117332173,a4F-b4D,NIST,--
[FeII]-3506,[Fe II],3505.516,0.35186476,3.88869686,0.214,2.63e-10,6-4,3d7-3d6(3D)4s,a4F-b4D,5/2-3/2,E2,3504.5129807967214,forbidden,1.578e-09,41,0.09193280774062416,a4F-b4D,NIST,--
[FeII]-3534,[Fe II],3533.867,0.9863338,4.49479059,0.19,2.6e-10,8-6,3d6(5D)4s-3d6(3D)4s,a4D-b2D,7/2-5/2,M1,3532.857163234371,forbidden,2.08e-09,15,1.0,a4D-b2D,NIST,--
[FeII]-3537,[Fe II],3537.257,0.38651921,3.89161339,0.0728,2.05e-10,4-6,3d7-3d6(3D)4s,a4F-b4D,3/2-5/2,E2,3536.246551203817,forbidden,8.2e-10,41,0.060647148167915166,a4F-b4D,NIST,--
[FeII]-3540,[Fe II],3539.702,0.38651921,3.8891925,0.513,4.82e-10,4-2,3d7-3d6(3D)4s,a4F-b4D,3/2-1/2,E2,3538.690762274101,forbidden,1.928e-09,41,0.08181305059372489,a4F-b4D,NIST,--
[FeII]-3540,[Fe II],3540.203,0.38651921,3.88869686,0.425,7.99e-10,4-4,3d7-3d6(3D)4s,a4F-b4D,3/2-3/2,E2,3539.1915434081893,forbidden,3.196e-09,41,0.17632331154546696,a4F-b4D,NIST,--
HeI-3588,He I,3588.286,20.96408688908,24.419335565023,1810700.0,0.0048933,5-7,1s2p-1s9d,3P*-3D,2-3,E1,3587.2619754501256,permitted,0.0244665,2,1.0,3P*,NIST,--
[FeII]-3589,[Fe II],3589.25,1.04046986,4.49479059,0.051,9.9e-11,6-6,3d6(5D)4s-3d6(3D)4s,a4D-b2D,5/2-5/2,M1,3588.225702663207,forbidden,5.94e-10,15,0.27220460171901917,a4D-b2D,NIST,--
[FeII]-3606,[Fe II],3605.623,1.04046986,4.47910423,0.015,1.9e-11,6-4,3d6(5D)4s-3d6(3D)4s,a4D-b2D,5/2-3/2,M1,3604.594880609451,forbidden,1.14e-10,15,0.03951486893988088,a4D-b2D,NIST,--
HeI-3615,He I,3614.673,20.615774823,24.04580040653,3802200.0,0.022343,1-3,1s2s-1s5p,1S-1P*,0-1,E1,3613.6420474496176,permitted,0.022343,3,1.0,1S,NIST,--
[FeII]-3627,[Fe II],3626.807,1.07624119,4.49479059,0.067,2e-10,4-6,3d6(5D)4s-3d6(3D)4s,a4D-b2D,3/2-5/2,M1,3625.7735141045378,forbidden,8e-10,15,0.3576526080424826,a4D-b2D,NIST,--
HeI-3635,He I,3635.267,20.96408688908,24.374680880069,2606300.0,0.0072291,5-7,1s2p-1s8d,3P*-3D,2-3,E1,3634.231046767206,permitted,0.0361455,2,1.0,3P*,NIST,--
[FeII]-3644,[Fe II],3643.526,1.07624119,4.47910423,0.074,1.5e-10,4-4,3d6(5D)4s-3d6(3D)4s,a4D-b2D,3/2-3/2,M1,3642.4878967907266,forbidden,6e-10,15,0.1942970301415959,a4D-b2D,NIST,--
H40,H I,3656.165,10.1988358,13.58993566,67.464,5.4079e-05,8-3200,2-40,,,E1,3655.1233312865097,permitted,0.000432632,0,1.0,2-40,NIST,--
H39,H I,3656.641,10.1988358,13.58949423,76.576,5.8368e-05,8-3042,2-39,,,E1,3655.5992082711346,permitted,0.000466944,0,1.0,2-39,NIST,--
H38,H I,3657.155,10.1988358,13.5890175,87.206,6.3123e-05,8-2888,2-38,,,E1,3656.113275381113,permitted,0.000504984,0,1.0,2-38,NIST,--
H37,H I,3657.712,10.1988358,13.58850159,99.657,6.841e-05,8-2738,2-37,,,E1,3656.6698315045614,permitted,0.00054728,0,1.0,2-37,NIST,--
H36,H I,3658.315,10.1988358,13.58794208,114.3,7.4305e-05,8-2592,2-36,,,E1,3657.273475451927,permitted,0.00059444,0,1.0,2-36,NIST,--
H35,H I,3658.972,10.1988358,13.58733395,131.61,8.0898e-05,8-2450,2-35,,,E1,3657.929905749184,permitted,0.000647184,0,1.0,2-35,NIST,--
H34,H I,3659.688,10.1988358,13.58667137,152.16,8.8297e-05,8-2312,2-34,,,E1,3658.6453207928657,permitted,0.000706376,0,1.0,2-34,NIST,--
H33,H I,3660.47,10.1988358,13.58594765,176.69,9.6627e-05,8-2178,2-33,,,E1,3659.4270186949175,permitted,0.000773016,0,1.0,2-33,NIST,--
H32,H I,3661.326,10.1988358,13.58515502,206.12,0.00010604,8-2048,2-32,,,E1,3660.283597230939,permitted,0.00084832,0,1.0,2-32,NIST,--
H31,H I,3662.268,10.1988358,13.58428445,241.62,0.00011672,8-1922,2-31,,,E1,3661.2248538659146,permitted,0.00093376,0,1.0,2-31,NIST,--
H30,H I,3663.306,10.1988358,13.58332538,284.74,0.00012889,8-1800,2-30,,,E1,3662.262385598998,permitted,0.00103112,0,1.0,2-30,NIST,--
H29,H I,3664.453,10.1988358,13.58226541,337.42,0.00014281,8-1682,2-29,,,E1,3663.409788911633,permitted,0.00114248,0,1.0,2-29,NIST,--
H28,H I,3665.727,10.1988358,13.58108984,402.24,0.00015882,8-1568,2-28,,,E1,3664.683059663915,permitted,0.00127056,0,1.0,2-28,NIST,--
[FeII]-3666,[Fe II],3665.739,1.09686139,4.47910423,0.146,5.9e-10,2-4,3d6(5D)4s-3d6(3D)4s,a4D-b2D,1/2-3/2,M1,3664.6952565099295,forbidden,1.18e-09,15,0.385632017505556,a4D-b2D,NIST,--
H27,H I,3667.146,10.1988358,13.57978125,482.61,0.00017732,8-1458,2-27,,,E1,3666.1015928357538,permitted,0.00141856,0,1.0,2-27,NIST,--
