Line,Vacuum Wavelength (Ã…),Line Flux (10^-15 erg s^-1 cm^-2)
He I 18,4027.5,2.95
Fe II,4094.82,1.37
Hdelta,4102.89,12.99
Fe II 28,4259.36,1.7
Fe II 32,4279.3,3.38
Fe II 28,4297.78,5.38
Fe II 32,4315.5,5.74
Hgamma,4341.62,22.72
Fe II 28,4370.63,2.29
Fe II,4404.27,6.09
Fe II 27,4418.06,0.32
Fe II 37,4474.18,8.6
Fe II 38,4509.54,6.3
Fe II 37,4557.17,0.0
Ti II 50,4565.04,5.45
Fe II 38,4577.61,5.45
Ti II 50,4591.27,6.45
Fe II 38,4596.97,1.03
Fe II] 43,4602.7,0.98
Fe II 38,4621.8,1.76
Fe II] 43,4658.27,2.77
Fe II 37,4668.06,6.19
He II,4687.02,7.14
Fe II] 26,4714.5,0.65
Fe II] 54,4721.47,1.92
Hbeta,4862.66,56.48
Fe II] 54,4888.29,0.74
Fe II 42,4925.29,1.54
Fe II 42,5019.84,2.01
Fe II,5032.04,3.02
Si II 5,5057.76,1.35
Fe II] 35,5134.1,2.82
Fe II] 35,5155.84,2.62
Fe II 42,5170.47,3.72
Fe II 49,5199.02,8.38
Fe II 49,5236.08,4.15
Fe II 41,5258.35,1.72
Fe II 48,5266.27,4.3
Fe II 41,5285.56,1.17
Fe II 49,5318.09,6.57
Fe II 48,5339.19,1.74
Fe II 48,5364.35,2.92
Fe II 48,5415.59,3.01
Fe II] 55,5434.49,2.44
Fe II,5506.78,0.85
Fe II] 55,5536.37,1.93